date,KOSPI,SP500,VIX,US10,KR10,GOLD,CRUDE_W,NIKKEI,EUROSTX
2002-08-13,,1029.25,,59.53126000000003,,868.4999999999995,-1.6999999999999922,,
2002-08-14,,1062.0,,59.45313500000003,,866.0999999999996,-1.4699999999999918,,
2002-08-15,,1074.5,,58.75001000000003,,868.6999999999996,-0.7599999999999945,,
2002-08-16,,1072.0,,57.74219750000003,,867.9999999999995,-0.6999999999999922,,
2002-08-19,,1093.0,,57.92969750000003,,860.2999999999995,-0.4699999999999917,,
2002-08-20,,1083.75,,58.95313500000003,,862.9999999999995,-0.4499999999999922,,
2002-08-21,,1096.25,,58.83594750000003,,861.8999999999996,-0.1699999999999946,,
2002-08-22,,1105.0,,58.20313500000003,,860.9999999999995,-0.3099999999999916,,
2002-08-23,,1085.0,,58.72657250000003,,860.9999999999995,-0.3399999999999927,,
2002-08-26,,1091.5,,58.94532250000003,,863.6999999999996,0.2900000000000062,,
2002-08-27,,1080.5,,58.41407250000003,,866.5999999999996,0.1200000000000081,,
2002-08-28,,1060.5,,58.78907250000003,,863.5999999999996,-0.1299999999999919,,
2002-08-29,,1060.0,,59.21876000000003,,867.0999999999996,0.3100000000000058,,
2002-08-30,,1060.0,,59.35938500000003,,866.5999999999996,0.3300000000000054,,
2002-09-03,,1021.75,,60.63282250000003,,867.6999999999996,-0.5999999999999943,,
2002-09-04,,1033.75,,60.85938500000003,,869.1999999999996,-0.1299999999999919,,
2002-09-05,,1027.25,,61.21094750000003,,872.4999999999995,0.5800000000000054,,
2002-09-06,,1038.5,,60.35157250000003,,874.1999999999996,1.1100000000000063,,
2002-09-09,,1044.5,,60.28907250000003,,875.4999999999995,1.3100000000000058,,
2002-09-10,,1055.0,,60.63282250000003,,872.0999999999996,1.4100000000000072,,
2002-09-11,,1050.0,,60.13282250000003,,870.7999999999995,1.4500000000000064,,
2002-09-12,,1033.0,,60.78907250000003,,873.0999999999996,0.6200000000000081,,
2002-09-13,,1035.0,,61.24219750000003,,870.7999999999995,1.510000000000009,,
2002-09-16,,1036.75,,61.46876000000003,,871.2999999999995,1.510000000000009,,
2002-09-17,,1016.25,,61.60157250000003,,871.0999999999996,0.9300000000000068,,
2002-09-18,,1007.5,,61.66407250000003,,874.6999999999996,1.2400000000000055,,
2002-09-19,,985.5,,62.16407250000003,,876.6999999999996,1.380000000000006,,
2002-09-20,,986.0,,62.27344750000003,,875.9999999999995,1.4300000000000068,,
2002-09-23,,978.25,,62.92188500000003,,876.8999999999996,2.200000000000003,,
2002-09-24,,964.5,,63.08594750000003,,879.7999999999995,2.200000000000003,,
2002-09-25,,985.0,,62.27344750000003,,876.0999999999996,2.0400000000000063,,
2002-09-26,,998.25,,62.28907250000003,,874.1999999999996,1.960000000000008,,
